	19	27	36	43	51	59	60	61
c90000_g1	216.00	303.00	275.00	74.00	50.00	18.00	64.00	116.00
c114060_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c131276_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c169913_g1	0.00	0.00	0.00	1.00	2.00	1.00	0.00	0.00
c131724_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
c161343_g1	0.00	0.00	0.00	0.00	1.00	0.00	1.00	2.00
c172409_g1	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00
c90601_g1	2.00	4.00	0.00	6.00	5.00	4.00	6.00	5.00
c128566_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c188480_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c131742_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c204206_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c172275_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c101717_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c141033_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
c81157_g1	191.00	428.00	684.00	91.00	74.00	39.00	20.00	66.00
c40366_g1	2.00	3.00	0.00	0.00	0.00	2.00	0.00	0.00
c161845_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c1007_g1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
c131113_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c59169_g1	3.00	0.00	0.00	0.00	3.00	2.00	0.00	0.00
c128808_g1	0.00	2.00	0.00	0.00	1.00	0.00	0.00	0.00
c89105_g3	24.00	38.00	25.00	48.00	23.00	22.00	30.00	28.00
c88632_g1	1.00	0.00	1.00	4.00	3.00	0.00	0.00	2.00
c213658_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c198415_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c164766_g1	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
c19841_g1	1.00	1.00	0.00	0.00	1.00	1.00	1.00	1.00
c102644_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c92132_g2	36004.69	29631.91	37284.68	25597.62	18790.56	16920.89	17889.81	18819.73
c85963_g1	3454.93	3258.26	3778.13	3560.16	3171.40	3670.00	4056.92	3690.20
c80035_g1	27.00	45.00	48.00	57.00	37.00	58.00	44.00	48.00
c206281_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c182489_g1	3.00	1.00	2.00	0.00	0.00	0.00	0.00	2.00
c147023_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c111659_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c141493_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c117275_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c86057_g2	0.00	0.00	0.00	3.00	2.00	1.00	1.00	2.00
c67847_g1	1.00	0.00	1.00	2.00	2.00	1.00	2.00	3.00
c46787_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00
c99533_g1	0.00	1.00	3.00	0.00	1.00	0.00	1.00	0.00
c174401_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c78919_g1	6.00	18.00	17.00	3.00	5.00	5.00	2.00	5.00
c86523_g3	2.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00
c144098_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c89174_g1	73.00	64.00	102.00	91.00	69.00	81.00	114.00	145.00
c181751_g1	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
c90425_g8	2.00	5.00	4.00	23.00	33.00	28.00	13.00	27.00
c68193_g1	2.00	0.00	2.00	1.00	1.00	2.00	0.00	0.00
c66666_g1	0.00	1.00	0.00	2.00	0.00	0.00	0.00	2.00
c188321_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c141791_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c94015_g2	0.00	1.00	1.00	0.00	2.00	1.00	1.00	1.00
c154844_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
c183527_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c186646_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c79351_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c35375_g1	1.00	2.00	1.00	1.00	2.00	2.00	2.00	3.00
c130613_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c128644_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c117597_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c180682_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c117634_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c87663_g3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
c90105_g1	11.00	15.00	7.00	3.00	3.00	3.00	2.00	2.00
c161182_g1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c53900_g1	0.00	2.00	0.00	0.00	0.00	0.00	3.00	1.00
c198988_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c196995_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c69948_g1	69.00	175.00	159.00	249.00	280.00	176.00	138.00	250.00
c92451_g3	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
c85203_g4	108.00	115.00	134.00	93.00	103.00	117.00	87.00	119.00
c204691_g1	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00
c95528_g1	2.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00
c130441_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c106386_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c92898_g2	7454.00	7543.00	9263.00	12030.00	8523.00	8707.00	9474.00	11979.00
c52848_g1	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
c206254_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c172535_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c155808_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c89795_g1	547.00	363.00	331.00	409.00	217.00	101.00	191.00	242.00
c25182_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c203221_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c64386_g1	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
c187300_g1	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
c12019_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c16454_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c6085_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c103288_g1	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
c164160_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00
c179262_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c185463_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c100304_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c90173_g1	148.00	264.00	335.00	446.00	366.00	426.00	228.00	381.00
c142627_g1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
c52435_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c88502_g3	2.00	5.00	6.00	8.00	12.00	5.00	1.00	9.00
c81495_g1	363.00	374.00	401.00	384.00	331.00	366.00	386.00	485.00
c176684_g1	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c173818_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c69494_g1	2.00	4.00	1.00	1.00	1.00	3.00	1.00	1.00
c59156_g1	0.00	1.00	0.00	1.00	0.00	0.00	0.00	1.00
c190014_g1	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
c9715_g1	0.00	0.00	0.00	0.00	1.00	1.00	1.00	0.00
c92621_g4	0.00	0.00	1.00	2.00	4.00	1.00	5.00	4.00
c82599_g2	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c55854_g2	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
c87183_g2	3.00	5.00	2.00	6.00	6.00	6.00	4.00	8.00
